,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
118,Desarrollador .NET,ASPEL,3.8,"Hybrid remote in Álvaro Obregón, CDMX","$17,000 al mes",2022-04-29,"Básicos y sólidos en Object Oriented, Visual Basic, UML, SQL Server, NET, Windows, Microsoft, Visual Studio, Java Scipt/Jquery Oracle Data, SCRUM.",0,0,17000,17000,17000.0,0, CDMX,0,1,0,0,1
119,QA Automation Engineer (Java / Selenium),Integon Service Co.,4.6,Remoto,"$42,000 - $55,000 al mes",2022-04-22,"Responsible for Assisting and being directly involved in testing web applications using automation.
 Individuals in this role must be experienced software…",0,0,42000,55000,48500.0,0,Remoto,0,1,0,0,0
120,ejecutivo de ventas,Data Voice,3.4,"Tlalnepantla, Méx.","$5,700 al mes",2022-05-01,"Experiencia mínima 6 Meses en vetas call center o face to face.
 Medio tiempo 07:00-13:00 de lunes a viernes a sábado.
 Bachillerato trunco o en curso (Deseable).",0,0,5700,5700,5700.0,0, Méx.,0,1,0,0,0
121,Consultant - Cloud Engineers,Genpact,,Remoto,"$25,000 al mes",2022-04-04,"Knowledge of security controls for the Public cloud (encryption of data in motion/rest and key management).
 We are looking for candidates who have a passion for…",0,0,25000,25000,25000.0,0,Remoto,0,1,0,0,0
122,Senior Software Developer C# .NET,Integon Service Co.,4.6,Remoto,"$50,000 - $65,000 al mes",2022-04-28,"Understanding of data modeling concepts.
 Responsible for the analysis, design, coding, testing, documentation and support of new software applications and…",0,0,50000,65000,57500.0,0,Remoto,0,1,0,0,0
123,Molding Training & Development Leader,Corning Optical Communications,3.8,"Reynosa, Tamps.","$40,000 - $90,000 al mes",2022-04-28,"We are looking for our Molding Training & Development Leader who will be key to establish, implement and monitor training and development programs for the…",0,0,40000,90000,65000.0,0, Tamps.,0,1,0,0,0
124,Realtor/Real Estate Agent (Remote),Reliance Fund,,"Remoto in Tijuana, B.C.","$10,000 al mes",2022-04-30,"Communication with clients and partners.
 Monitoring and maintenance of database.
 Negotiate Purchase Contracts with Homeowners and Real Estate Agents.",0,0,10000,10000,10000.0,0, B.C.,0,1,0,0,0
125,Bilingual Recruiter,AgileOne Mexico,,"Remoto in Chihuahua, Chih.","$18,000 - $24,000 al mes",2022-05-01,"Maintain accurate records including timely data entry ATS of recruiting and order fulfillment activity.
 Experience recruiting for at least 2 years.",0,0,18000,24000,21000.0,0, Chih.,0,1,0,0,0
126,Real Estate Agent (Realtor),Reliance Fund,,"Apodaca, N. L.","$10,000 al mes",2022-04-26,"The candidate will manage activities related to property research, outreach, property acquisition, property management, due diligence, property sale, including…",0,0,10000,10000,10000.0,0, N. L.,0,1,0,0,0
127,Planner,Corning Optical Communications,3.8,"Reynosa, Tamps.","$25,000 - $35,000 al mes",2022-05-02,"Ensure accuracy of lead times, safety stock levels, and other critical data are current through periodic ASI system.
 2-4 years planning experience.",0,0,25000,35000,30000.0,0, Tamps.,0,1,0,0,0
